,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
908,8407430,454596219,54.5,3172,64.30098623,44.86547963,5.994466444,43.43841669520796,55.40108954691249,-1.972793711855348,0.0,0.0,1
1328,12477867,685250856,54.4,5089,80.53320791,67.71744996,42.08593406,70.42447656443817,74.38628587086815,0.1583546281866031,-30.00000000000007,-11.764705882352969,1
1075,3479764,178635344,51.5,1638,31.31630849,26.58129544,17.11126935,52.34190837884012,54.5986615355927,0.0854459322104306,0.0,-50.0,1
9,10749516,403798163,37.5,3427,8.077196331,14.68771366,27.90874831,9.560081026806602,13.644733422563643,-0.0651373025368493,-100.0,-100.0,0
2582,9150360,657776921,72.4,4906,36.61230941,32.21144229,23.40970804,53.01306258568349,57.36566941401952,0.1896290986476264,0.0,-6.666666666666288,0
2013,6887391,467507283,67.8,2923,72.98549681,69.99776609,64.02230465,49.20410946969853,47.14530345536978,0.1281031785338487,-100.0,-39.47368421052634,0
986,10983273,580498527,52.8,3231,49.90874525,53.10374137,59.49373361,51.439325882890415,56.73538446538484,-0.3397037310561289,0.0,-46.666666666666856,1
498,2898190,126404774,43.3,1229,56.85640266,69.55970474,94.96630891,52.14536156534568,43.2599006301122,0.7137762027246174,-100.0,-86.36363636363652,0
1418,6149562,339342910,55.0,3019,31.55919887,47.00101944,77.88466056,43.00364087908169,36.45001563007614,0.1547176216022903,-100.0,-100.0,1
120,8621407,308996770,35.6,2643,57.8877285,71.77713535,99.55594906,64.19550953511954,63.52408913949349,0.4284855963645323,-90.9090909090902,-34.48275862068959,0
855,6135856,361828215,58.8,2614,60.00525416,46.9699302,20.89928227,51.58934431047412,57.63572609592554,-0.2321634530059127,0.0,0.0,0
254,8659911,362508462,42.0,2713,38.18868089,56.48866823,93.08864292,40.0524326566386,27.114832042743785,0.2844118815200484,-100.0,-100.0,1
128,5341308,198264689,37.1,1854,77.16727581,80.11486118,86.01003193,65.14662644459773,59.60597020228313,0.8135554753737041,-100.0,-28.57142857142862,0
2431,8067981,586639993,72.6,3264,9.922193155,22.38094083,47.29843619,38.95815518080428,31.012854191374345,-0.1992023318218916,-100.0,-100.0,1
685,6173762,313134600,50.3,2705,65.50147882,80.73108624,111.1903011,48.81009236418749,38.19877984169938,0.4408499170430319,-100.0,-94.44444444444476,1
30,13120578,466198577,35.95,4278,67.49417341,47.09817614,6.306181605,54.29370480840784,71.75269910706372,-0.6062016819480213,0.0,0.0,1
1937,6952408,432147286,62.3,2988,18.79419614,18.43901221,17.72864436,39.93696017783891,34.74166093640433,-0.1436235121877189,-100.0,-100.0,1
399,18000772,767210252,42.0,6003,40.01606419,34.614744,23.81210362,37.36785918684586,33.683185600881,0.2718536637921566,-46.9387755102041,-82.19178082191783,1
1743,6231459,338830742,54.3,2113,67.75206426,72.73150942,82.69039973,52.21748675393193,51.21178411195783,-0.096194107038434,-62.50000000000022,-53.84615384615419,0
1386,18920115,1034897205,54.0,8441,37.30925116,42.92968323,54.17054738,46.53420923704086,44.265121265376905,0.3137973981730826,-71.42857142857139,-71.42857142857139,0
2212,4963917,345605856,69.8,1814,47.59328834,36.44239407,14.14060553,44.055618758364645,48.64916086206855,-1.3413183176547938,-35.71428571428593,-27.272727272727472,0
1374,15745660,863991808,55.7,4390,60.28226364,62.45177622,66.79080137,57.98808777772664,58.71007169978524,0.4196133604728553,-48.14814814814799,-36.111111111111015,0
245,3681174,157566726,42.75,1148,65.93366238,56.34505387,37.16783687,54.99671110895863,52.7193815543877,0.4222210471426665,-21.052631578947604,-31.818181818181905,0
1958,10124659,648728104,64.7,4785,57.18308522,43.47255243,16.05148684,57.19374069771808,61.6167263427035,0.0703084200557491,0.0,0.0,0
1040,9722273,509737319,52.2,3254,71.17013305,72.36220996,74.74636377,65.45437493592799,70.4427353125487,0.1533650367644994,-21.05263157894731,-15.38461538461532,0
1716,8372376,460392780,54.9,3533,69.53423569,60.04390583,41.06324611,44.7924245568592,49.42365710155221,-0.978233024691222,-47.05882352941194,-47.05882352941194,1
1867,30535605,1793098664,58.4,12161,34.93793817,39.71792033,49.27788465,29.49516954987057,18.413044632058444,0.1817298995242502,-100.0,-100.0,0
1697,25567703,1438282402,56.2,8263,16.46567078,15.21124597,12.70239636,37.53001343245311,39.74583316751114,-0.7475383057059517,-26.086956521738912,-69.09090909090904,0
1602,9101988,574032447,63.4,3827,53.98243885,58.1869039,66.59583401,52.92324822040659,51.379984266977765,0.9601970126242452,-26.31578947368423,-51.72413793103463,1
1814,9216081,526534117,57.0,3549,69.17740004,70.593673,73.42621891,57.26851554089014,60.80295916337211,0.047253537015656,-35.71428571428575,-25.0,0
